Name,event_category,event_action,event_label,description,Note
Scroll depth,"Scroll Depth","{25%|50%|75%|90%|100%}","$PagePath or $PagePath_$TabName","Depth of scroll by quartiles and 90%","For scrolls on any tabbed sections, fire $PagePath_$TabName"
Exit link,"External Links","{click|continue} OR $link_text","$ExitLink_URL","clicks on links to exit the site, including where an interstitial is involved","{click|continue} applicable where an interstitial is involved, where no interstitial, please use $link_text. For outbound_links on any tabbed sections, fire $PagePath_$TabName"
Form validation error,"Validation Errors","$FormName","$FieldName_$Error_Name","This event will fire if for some reason the form couldn't be submitted.",""
Form submission,"Form Submissions","$FormName","Complete","This event will fire after the user clicks to submit the form successfully.. This should not fire if the form submission is unsuccessful",""
Form field completion,"Form Field Completion","$FormName","$FieldName_$FieldValue","Only populate the event with $FieldValue when the user clicks to select an option (e.g. Dropdown menu, checkboxes, radio buttons…). This should never be used to pull open field information (e.g. First Name, Last Name, Address, Phone, Gender, any PII…) or user's Age/Date of birth, even if it's a Dropdown menu or checkbox.  For open fields, a completion is when a user has typed in at least a character into a field and has then clicked outside that field.  For drop down menu items, a completion is when a user has selected an item from the menu.  For radio buttons and checkboxes, a completion is when a user has checked an item and has then clicked anywhere outside of them.  This event will fire every time that the user completes a field.","Where $FieldValue should be added when the user clicks to select an option (e.g. Dropdown menu, checkboxes, radio buttons…)."
Form submission details,"Form Submissions","$FormName","$FieldName_$FieldValue","This event will fire after the user clicks to submit the form, right after the ""form_submissions"" event. And it will contain all the fields that were filled for those that have successfully submitted the form. It'll be one event for each Field Completion.  Only populate the event with $FieldValue when the user clicks to select an option (e.g., Dropdown menu, checkboxes, radio buttons…). This should never be used to pull open field information (e.g., First Name, Last Name, Address, Gender, Phone, any PII…) or user's Age/Date of birth, even if it's a Dropdown menu or checkbox.","Where $FieldValue should be added when the user clicks to select an option (e.g. Dropdown menu, checkboxes, radio buttons…). Dev to flag if this is not possible to track"
Header links,"Header","$Link_Name or $Link_Text","$Link_URL","clicks on header links",""
Footer links,"Footer","$Link_Name or $Link_Text","$Link_URL","clicks on footer links",""
Navigation,"Navigation","$Link_Name or $Link_Text","$Link_URL","Track navigation from the nav bar",""
Shares,"Shares","{Start}","{Email | Facebook | Instagram | Twitter | Linkedin}","Any share (social, email, etc.)","Not possible to track share completion as the act of sharing takes the user to a third party. For shares on any tabbed sections, fire $PagePath_$TabName"
